Hue,N
28.0937367404333,2.59
31.11862,2.83
32.307428435425,3.33
32.9579689114,3.55
34.47727382806,4.2
35.35174580906,4.23
39.9802229347,4.48
39.8170752363125,4.42
40.726203761025,4.93
40.62598510734,4.78
38.475,4.96
41.44377539395,4.9
42.768892336125,4.49
42.139872267575,4.68
42.3414077359714,4.86
43.6051666666667,4.8
42.3432714427535,4.189488818
42.5310921827363,4.270558214
42.4645249531091,4.334243513
39.6181520850368,4.484250899
39.5172614323636,4.420335196
39.0704299112881,4.360047866
37.5828238265359,4.652668528
38.1800770453759,4.599648562
38.6661664894131,4.626158545
32.1858794903917,2.284263473
31.6705937437292,2.340965297
31.7793013532347,2.312614385
31.0037825218308,1.495945622
30.9894980606174,1.524059129
31.0172138411168,1.524059129
